region,level,quotes,won,lost_expired,open,win_rate,quoted_usd,won_usd,won_margin_usd,last6_quoted_usd,trend_ratio,vendors_150mi,vendors_300mi,nearest_vendor_mi,lost_crm_leads,centroid_lat,centroid_lng,coverage_weakness,loss_factor,gap_score
Illinois (US) / La Salle (613xx),metro,29,21,0,8,1.0,603356.0,297114.0,290405.0,582033.0,82.19,18,29,47.0,,41.344,-89.096,0.023529411764705882,0.05,0.7
New Jersey (US) / Saddle Brook (076xx),metro,92,88,0,4,1.0,1173466.0,872731.0,848048.0,481583.0,2.1,62,73,5.0,,40.9,-74.091,0.007662835249042145,0.05,0.4
Delaware (US),state,79,79,0,0,1.0,890479.0,890479.0,884848.0,484870.0,3.6,44,70,1.0,0.0,39.177,-75.596,0.00980392156862745,0.05,0.4
Pennsylvania (US) / Du Bois (158xx),metro,29,29,0,0,1.0,416599.0,416599.0,416599.0,53915.0,0.45,10,74,82.0,,41.126,-78.753,0.018867924528301886,0.05,0.4
South Carolina (US),state,2,2,0,0,1.0,77722.0,77722.0,77722.0,0.0,0.0,3,10,78.0,0.0,33.966,-80.936,0.09523809523809523,0.05,0.4
New York (US) / Ozone Park (114xx),metro,112,109,0,3,1.0,946085.0,921655.0,594293.0,534921.0,3.92,61,72,3.0,,40.679,-73.84,0.007782101167315175,0.05,0.4
New Jersey (US) / Cranbury (085xx),metro,110,109,0,1,1.0,899744.0,899744.0,899744.0,9568.0,0.03,63,74,6.0,,40.302,-74.507,0.007547169811320755,0.05,0.3
New Jersey (US) / Freehold (077xx),metro,244,236,0,8,1.0,645182.0,620440.0,612127.0,170839.0,1.08,60,72,18.0,,40.246,-74.277,0.007874015748031496,0.05,0.3
New York (US) / COPIAGUE LIC (117xx),metro,88,88,0,0,1.0,485014.0,485014.0,421619.0,121888.0,1.01,57,72,6.0,,40.687,-73.387,0.00816326530612245,0.05,0.2
New York (US) / Hurleyville (127xx),metro,37,33,1,3,0.971,599148.0,551750.0,529970.0,142155.0,0.94,57,76,32.0,,41.713,-74.623,0.008032128514056224,0.05,0.2
Missouri (US),state,7,7,0,0,1.0,56538.0,56538.0,46538.0,33160.0,4.27,1,23,149.0,0.0,38.75,-90.448,0.07142857142857142,0.05,0.2
New York (US) / Long Island City (111xx),metro,43,42,0,1,1.0,543842.0,531692.0,531692.0,152395.0,1.17,61,73,1.0,,40.745,-73.934,0.007751937984496124,0.05,0.2
Indiana (US),state,2,2,0,0,1.0,66140.0,66140.0,66140.0,45000.0,6.41,16,29,59.0,0.0,40.604,-87.024,0.02531645569620253,0.05,0.1
Connecticut (US),state,10,9,1,0,0.9,66762.0,66762.0,66762.0,27438.0,2.1,60,72,12.0,0.0,41.34,-73.032,0.007874015748031496,0.09999999999999998,0.1
Massachusetts (US),state,4,4,0,0,1.0,98431.0,98431.0,98431.0,0.0,0.0,7,62,54.0,0.0,41.981,-70.245,0.023529411764705882,0.05,0.1
New Jersey (US) / NEWARK (071xx),metro,37,36,1,0,0.973,134895.0,129383.0,-1148328.0,27560.0,0.77,63,73,6.0,,40.713,-74.188,0.007575757575757576,0.05,0.1
Pennsylvania (US) / Easton (180xx),metro,25,24,0,1,1.0,349170.0,310770.0,310770.0,127160.0,1.72,64,77,18.0,,40.694,-75.289,0.007380073800738007,0.05,0.1
New York (US) / Far Rockaway (116xx),metro,56,55,0,1,1.0,189188.0,189188.0,187824.0,12264.0,0.21,61,72,6.0,,40.608,-73.82,0.007782101167315175,0.05,0.1
New Jersey (US) / Lakewood (087xx),metro,63,59,0,4,1.0,195499.0,187998.0,181011.0,59569.0,1.32,61,72,28.0,,40.085,-74.204,0.007782101167315175,0.05,0.1
New Jersey (US) / EDISON (088xx),metro,54,54,0,0,1.0,367529.0,367529.0,358971.0,49691.0,0.47,63,74,4.0,,40.51,-74.412,0.007547169811320755,0.05,0.1
Utah (US),state,1,1,0,0,1.0,21772.0,21772.0,21772.0,21772.0,,4,5,9.0,0.0,40.701,-112.081,0.10526315789473684,0.05,0.1
Kentucky (US),state,2,2,0,0,1.0,5530.0,5530.0,5530.0,0.0,0.0,8,20,81.0,0.0,37.987,-84.179,0.043478260869565216,0.05,0.0
Minnesota (US),state,4,4,0,0,1.0,4526.0,4526.0,4526.0,0.0,0.0,5,12,20.0,0.0,44.843,-93.262,0.06896551724137931,0.05,0.0
New York (US) / East Rockaway (115xx),metro,20,18,0,2,1.0,82208.0,81103.0,81103.0,7158.0,0.29,59,72,12.0,,40.671,-73.664,0.00796812749003984,0.05,0.0
